,Method,Registered,Ballots Cast,Turnout (%),CAROL LEE TOLBERT,REBECCA KAPLAN,MICK STORM,THERESA ANDERSON,IGNACIO DE LA FUENTE,Write-In,Over Votes,Under Votes
362510,TC-Election Day Reporting,901,344,38.18,84,98,5,25,114,3,,15
362510,TC-Vote by Mail Reporting,901,309,34.3,59,102,4,21,107,,3,13
362600,TC-Election Day Reporting,971,369,38,82,147,8,29,89,1,,13
362600,TC-Vote by Mail Reporting,971,358,36.87,53,167,10,18,95,1,7,7
362800,TC-Election Day Reporting,1439,465,32.31,81,225,12,23,104,,3,17
362800,TC-Vote by Mail Reporting,1439,635,44.13,104,323,12,31,133,3,5,24
362900,TC-Election Day Reporting,780,351,45,84,116,6,27,95,3,3,17
362900,TC-Vote by Mail Reporting,780,204,26.15,35,86,6,9,62,,1,5
363000,TC-Election Day Reporting,1264,451,35.68,134,113,18,29,138,3,1,15
363000,TC-Vote by Mail Reporting,1264,366,28.96,85,133,7,20,107,4,4,6
363100,TC-Election Day Reporting,1166,438,37.56,111,97,16,32,137,3,4,38
363100,TC-Vote by Mail Reporting,1166,415,35.59,61,149,6,28,142,4,10,15
363200,TC-Election Day Reporting,682,245,35.92,53,66,3,18,69,4,3,29
363200,TC-Vote by Mail Reporting,682,221,32.4,43,73,5,19,70,1,4,6
363310,TC-Election Day Reporting,1330,481,36.17,118,146,14,31,144,1,6,21
363310,TC-Vote by Mail Reporting,1330,385,28.95,94,125,11,14,120,3,4,14
363600,TC-Election Day Reporting,1222,434,35.52,110,115,16,39,132,2,1,19
363600,TC-Vote by Mail Reporting,1222,334,27.33,78,92,4,22,119,3,3,13
364200,TC-Election Day Reporting,1223,344,28.13,28,131,10,14,143,,,18
364200,TC-Vote by Mail Reporting,1223,626,51.19,40,224,30,24,278,3,4,23
364300,TC-Election Day Reporting,576,180,31.25,31,89,11,4,36,1,,8
364300,TC-Vote by Mail Reporting,576,263,45.66,29,113,7,13,84,1,1,15
364310,TC-Election Day Reporting,724,190,26.24,28,65,12,9,67,1,,8
364310,TC-Vote by Mail Reporting,724,362,50,56,105,21,13,141,4,,22
364400,TC-Election Day Reporting,1064,417,39.19,95,152,7,22,94,32,,15
364400,TC-Vote by Mail Reporting,1064,451,42.39,87,159,11,35,121,1,2,35
364510,TC-Election Day Reporting,846,307,36.29,60,121,6,12,76,2,1,29
364510,TC-Vote by Mail Reporting,846,381,45.04,73,161,15,13,103,,,16
364600,TC-Election Day Reporting,1016,355,34.94,76,155,13,20,80,6,,5
364600,TC-Vote by Mail Reporting,1016,398,39.17,51,180,14,21,114,,2,16
364700,TC-Election Day Reporting,882,306,34.69,65,105,10,36,76,1,,13
364700,TC-Vote by Mail Reporting,882,362,41.04,64,144,2,30,107,1,3,11
364800,TC-Election Day Reporting,670,243,36.27,49,80,11,18,67,3,,15
364800,TC-Vote by Mail Reporting,670,217,32.39,48,78,6,7,66,,2,10
364900,TC-Election Day Reporting,1332,427,32.06,75,202,16,20,103,2,,9
364900,TC-Vote by Mail Reporting,1332,603,45.27,82,279,31,32,148,5,2,24
365000,TC-Election Day Reporting,603,226,37.48,55,86,4,15,60,2,,4
365000,TC-Vote by Mail Reporting,603,215,35.66,39,81,7,11,68,,3,6
365200,TC-Election Day Reporting,1066,391,36.68,112,102,9,32,107,2,,27
365200,TC-Vote by Mail Reporting,1066,349,32.74,59,117,5,24,123,4,7,10
373100,TC-Election Day Reporting,787,290,36.85,58,69,2,21,97,3,2,38
373100,TC-Vote by Mail Reporting,787,241,30.62,53,85,3,15,74,1,5,5
373400,TC-Election Day Reporting,1361,488,35.86,94,138,9,41,149,1,7,49
373400,TC-Vote by Mail Reporting,1361,356,26.16,68,119,8,24,112,,3,22
373500,TC-Election Day Reporting,739,295,39.92,61,69,7,14,127,7,1,9
373500,TC-Vote by Mail Reporting,739,176,23.82,37,48,5,11,71,1,2,1
373900,TC-Election Day Reporting,1027,385,37.49,78,93,8,36,127,2,5,36
373900,TC-Vote by Mail Reporting,1027,299,29.11,58,100,8,22,91,1,5,14
400100,TC-Election Day Reporting,693,259,37.37,53,90,14,14,56,,2,30
400100,TC-Vote by Mail Reporting,693,315,45.45,33,124,9,10,115,1,4,19
400200,TC-Election Day Reporting,780,322,41.28,72,121,7,9,76,,4,33
400200,TC-Vote by Mail Reporting,780,346,44.36,70,143,9,18,94,,3,9
400300,TC-Election Day Reporting,792,298,37.63,54,118,4,18,86,,2,16
400300,TC-Vote by Mail Reporting,792,384,48.48,63,158,7,17,122,4,4,9
400400,TC-Election Day Reporting,556,186,33.45,31,78,6,3,49,,1,18
400400,TC-Vote by Mail Reporting,556,277,49.82,46,101,7,10,98,1,1,13
400500,TC-Election Day Reporting,550,215,39.09,41,75,7,10,62,2,,18
400500,TC-Vote by Mail Reporting,550,226,41.09,35,98,7,3,73,,1,9
400600,TC-Election Day Reporting,697,267,38.31,51,97,4,9,81,1,2,22
400600,TC-Vote by Mail Reporting,697,322,46.2,75,104,9,13,108,2,1,10
400700,TC-Election Day Reporting,739,273,36.94,78,92,6,13,67,1,,16
400700,TC-Vote by Mail Reporting,739,334,45.2,103,113,13,13,67,1,7,17
400800,TC-Election Day Reporting,756,289,38.23,72,92,14,19,65,3,4,20
400800,TC-Vote by Mail Reporting,756,249,32.94,42,96,6,13,75,1,4,12
400900,TC-Election Day Reporting,1318,426,32.32,101,145,6,24,116,2,,32
400900,TC-Vote by Mail Reporting,1318,568,43.1,103,237,7,30,163,1,6,21
401100,TC-Election Day Reporting,1259,484,38.44,110,185,11,28,130,1,3,16
401100,TC-Vote by Mail Reporting,1259,464,36.85,68,188,8,30,141,6,7,16
410100,TC-Election Day Reporting,1493,469,31.41,108,103,15,38,159,1,7,38
410100,TC-Vote by Mail Reporting,1493,394,26.39,71,124,6,25,141,,7,20
410300,TC-Election Day Reporting,1112,369,33.18,75,94,8,23,130,4,5,30
410300,TC-Vote by Mail Reporting,1112,319,28.69,72,89,6,14,125,2,2,9
410400,TC-Election Day Reporting,1471,531,36.1,122,150,11,26,187,3,5,27
410400,TC-Vote by Mail Reporting,1471,520,35.35,86,187,14,31,174,3,4,21
410500,TC-Election Day Reporting,739,301,40.73,49,86,7,18,116,6,2,17
410500,TC-Vote by Mail Reporting,739,209,28.28,35,66,1,11,84,1,1,10
410600,TC-Election Day Reporting,925,288,31.14,61,92,6,16,80,1,1,31
410600,TC-Vote by Mail Reporting,925,406,43.89,54,149,10,13,156,3,4,17
415000,TC-Election Day Reporting,841,320,38.05,70,73,3,10,136,5,4,19
415000,TC-Vote by Mail Reporting,841,204,24.26,31,54,1,12,95,2,1,8
415200,TC-Election Day Reporting,659,234,35.51,73,53,5,18,76,1,,8
415200,TC-Vote by Mail Reporting,659,195,29.59,30,75,1,11,69,1,2,6
415300,TC-Election Day Reporting,1083,385,35.55,84,100,11,22,128,2,5,33
415300,TC-Vote by Mail Reporting,1083,358,33.06,67,102,8,22,128,2,8,21
415500,TC-Election Day Reporting,827,315,38.09,75,83,9,26,99,2,,21
415500,TC-Vote by Mail Reporting,827,238,28.78,45,80,5,17,81,1,3,6
415600,TC-Election Day Reporting,847,282,33.29,68,72,4,14,94,2,,28
415600,TC-Vote by Mail Reporting,847,257,30.34,57,74,4,9,104,,3,6
415800,TC-Election Day Reporting,723,283,39.14,56,95,10,15,90,9,,8
415800,TC-Vote by Mail Reporting,723,197,27.25,33,79,6,13,57,4,1,4
415900,TC-Election Day Reporting,537,219,40.78,53,79,4,21,49,1,,12
415900,TC-Vote by Mail Reporting,537,160,29.8,22,68,4,8,47,1,5,5
9213000,TC-Election Day Reporting,413,7,1.69,2,,,,3,,,2
9213000,TC-Vote by Mail Reporting,413,300,72.64,44,108,15,10,96,2,,25
9215630,TC-Election Day Reporting,207,41,19.81,7,18,1,3,6,,,6
9215630,TC-Vote by Mail Reporting,207,96,46.38,12,36,4,4,28,,3,9
9215810,TC-Election Day Reporting,50,6,12,1,3,1,,1,,,
9215810,TC-Vote by Mail Reporting,50,22,44,6,8,,2,3,,,3
9223100,TC-Election Day Reporting,273,10,3.66,,7,,1,2,,,
9223100,TC-Vote by Mail Reporting,273,229,83.88,24,100,10,17,60,3,,15
9223110,TC-Election Day Reporting,136,4,2.94,1,1,,,2,,,
9223110,TC-Vote by Mail Reporting,136,103,75.74,12,42,7,7,21,1,,13
9224300,TC-Election Day Reporting,185,21,11.35,,3,1,1,11,1,,4
9224300,TC-Vote by Mail Reporting,185,120,64.86,14,57,4,7,28,,,10
9224420,TC-Election Day Reporting,109,7,6.42,1,2,,1,1,,,2
9224420,TC-Vote by Mail Reporting,109,66,60.55,10,26,1,2,22,,,5
9224430,TC-Election Day Reporting,57,5,8.77,1,3,,,1,,,
9224430,TC-Vote by Mail Reporting,57,31,54.39,2,10,4,3,9,,,3
9224710,TC-Election Day Reporting,147,1,0.68,1,,,,,,,
9224710,TC-Vote by Mail Reporting,147,114,77.55,10,56,2,4,37,1,,4
9224810,TC-Election Day Reporting,251,26,10.36,3,14,,2,4,,1,2
9224810,TC-Vote by Mail Reporting,251,182,72.51,19,91,6,8,49,,,9
9224910,TC-Election Day Reporting,173,3,1.73,1,1,,,1,,,
9224910,TC-Vote by Mail Reporting,173,154,89.02,11,86,6,7,33,1,,10
9225500,TC-Election Day Reporting,110,7,6.36,,3,,1,,,,3
9225500,TC-Vote by Mail Reporting,110,73,66.36,10,38,,2,18,1,,4
9244110,TC-Election Day Reporting,213,5,2.35,1,1,1,,1,,,1
9244110,TC-Vote by Mail Reporting,213,173,81.22,14,68,8,6,64,,,13
9244910,TC-Election Day Reporting,138,7,5.07,1,2,,2,2,,,
9244910,TC-Vote by Mail Reporting,138,100,72.46,8,44,9,4,29,,,6
9325000,TC-Election Day Reporting,295,35,11.86,4,10,1,3,7,,,10
9325000,TC-Vote by Mail Reporting,295,160,54.24,25,70,6,10,32,1,,16
9333300,TC-Election Day Reporting,77,2,2.6,,2,,,,,,
9333300,TC-Vote by Mail Reporting,77,51,66.23,8,14,6,6,10,,,7
9333310,TC-Election Day Reporting,0,0,0,,,,,,,,
9333310,TC-Vote by Mail Reporting,0,0,0,,,,,,,,
9333420,TC-Election Day Reporting,0,0,0,,,,,,,,
9333420,TC-Vote by Mail Reporting,0,0,0,,,,,,,,
9333610,TC-Election Day Reporting,67,3,4.48,,2,,1,,,,
9333610,TC-Vote by Mail Reporting,67,45,67.16,4,31,,5,3,,,2
9333910,TC-Election Day Reporting,118,2,1.69,,,,,2,,,
9333910,TC-Vote by Mail Reporting,118,68,57.63,4,32,4,11,12,,,5
9333920,TC-Election Day Reporting,69,3,4.35,1,1,,,1,,,
9333920,TC-Vote by Mail Reporting,69,46,66.67,7,20,1,,17,,,1
9333930,TC-Election Day Reporting,356,21,5.9,3,12,,,3,,,3
9333930,TC-Vote by Mail Reporting,356,196,55.06,41,55,5,11,48,,7,29
9334510,TC-Election Day Reporting,2,0,0,,,,,,,,
9334510,TC-Vote by Mail Reporting,2,1,50,,,,,1,,,
9335110,TC-Election Day Reporting,181,20,11.05,1,8,,1,6,,1,3
9335110,TC-Vote by Mail Reporting,181,87,48.07,18,42,4,4,17,,,2
9335600,TC-Election Day Reporting,281,30,10.68,5,10,2,4,2,,,7
9335600,TC-Vote by Mail Reporting,281,117,41.64,26,49,5,15,18,1,1,2
9335800,TC-Election Day Reporting,239,19,7.95,3,11,,1,3,,,1
9335800,TC-Vote by Mail Reporting,239,125,52.3,26,47,2,6,27,2,2,13
9335910,TC-Election Day Reporting,110,11,10,3,1,3,,3,,,1
9335910,TC-Vote by Mail Reporting,110,54,49.09,7,26,2,3,9,,2,5
9336300,TC-Election Day Reporting,36,1,2.78,,,,,,,,1
9336300,TC-Vote by Mail Reporting,36,24,66.67,4,11,5,,1,,,3
9336810,TC-Election Day Reporting,69,1,1.45,,1,,,,,,
9336810,TC-Vote by Mail Reporting,69,46,66.67,3,28,4,1,7,,,3
9336910,TC-Election Day Reporting,431,15,3.48,2,1,,2,2,,,8
9336910,TC-Vote by Mail Reporting,431,302,70.07,33,136,14,15,68,2,1,33
9345300,TC-Election Day Reporting,171,20,11.7,5,9,,,2,,,4
9345300,TC-Vote by Mail Reporting,171,109,63.74,21,48,2,7,17,,1,13
9345710,TC-Election Day Reporting,100,0,0,,,,,,,,
9345710,TC-Vote by Mail Reporting,100,83,83,8,34,8,4,25,,,4
9347110,TC-Election Day Reporting,411,39,9.49,6,12,,2,15,1,,3
9347110,TC-Vote by Mail Reporting,411,212,51.58,33,72,10,11,73,3,1,9
9347210,TC-Election Day Reporting,226,25,11.06,5,7,,,10,,,3
9347210,TC-Vote by Mail Reporting,226,105,46.46,22,31,5,9,28,,2,8
9355210,TC-Election Day Reporting,257,18,7,1,8,1,,6,,,2
9355210,TC-Vote by Mail Reporting,257,149,57.98,17,49,4,7,63,1,1,7
9356400,TC-Election Day Reporting,463,49,10.58,9,13,1,1,15,2,,8
9356400,TC-Vote by Mail Reporting,463,236,50.97,39,65,11,8,97,2,5,9
9360900,TC-Election Day Reporting,30,1,3.33,1,,,,,,,
9360900,TC-Vote by Mail Reporting,30,6,20,1,3,,1,1,,,
9361000,TC-Election Day Reporting,323,23,7.12,2,9,1,1,7,,,3
9361000,TC-Vote by Mail Reporting,323,168,52.01,21,78,4,19,37,1,2,6
9361210,TC-Election Day Reporting,0,0,0,,,,,,,,
9361210,TC-Vote by Mail Reporting,0,0,0,,,,,,,,
9361400,TC-Election Day Reporting,57,10,17.54,1,1,1,,6,,,1
9361400,TC-Vote by Mail Reporting,57,23,40.35,3,4,1,4,8,1,1,1
9362000,TC-Election Day Reporting,346,33,9.54,1,14,2,1,12,,1,2
9362000,TC-Vote by Mail Reporting,346,159,45.95,47,23,2,10,64,,5,8
9362210,TC-Election Day Reporting,48,1,2.08,,1,,,,,,
9362210,TC-Vote by Mail Reporting,48,25,52.08,11,7,2,,5,,,
9364020,TC-Election Day Reporting,8,0,0,,,,,,,,
9364020,TC-Vote by Mail Reporting,8,8,100,,2,,,5,,,1
9364030,TC-Election Day Reporting,1,0,0,,,,,,,,
9364030,TC-Vote by Mail Reporting,1,1,100,,,,1,,,,
9364210,TC-Election Day Reporting,6,0,0,,,,,,,,
9364210,TC-Vote by Mail Reporting,6,3,50,,2,,,1,,,
9364320,TC-Election Day Reporting,9,0,0,,,,,,,,
9364320,TC-Vote by Mail Reporting,9,6,66.67,,2,,,2,,,2
9364330,TC-Election Day Reporting,31,1,3.23,,,,,,,,1
9364330,TC-Vote by Mail Reporting,31,18,58.06,2,14,,,1,,,1
9373000,TC-Election Day Reporting,0,0,0,,,,,,,,
9373000,TC-Vote by Mail Reporting,0,0,0,,,,,,,,
9373010,TC-Election Day Reporting,0,0,0,,,,,,,,
9373010,TC-Vote by Mail Reporting,0,0,0,,,,,,,,
9373020,TC-Election Day Reporting,0,0,0,,,,,,,,
9373020,TC-Vote by Mail Reporting,0,0,0,,,,,,,,
9373030,TC-Election Day Reporting,0,0,0,,,,,,,,
9373030,TC-Vote by Mail Reporting,0,0,0,,,,,,,,
9416220,TC-Election Day Reporting,0,0,0,,,,,,,,
9416220,TC-Vote by Mail Reporting,0,0,0,,,,,,,,
