,Method,Registered,Ballots Cast,Turnout (%),CAROL LEE TOLBERT,REBECCA KAPLAN,MICK STORM,THERESA ANDERSON,IGNACIO DE LA FUENTE,Write-In,Over Votes,Under Votes
353310,TC-Vote by Mail Reporting,1105,369,33.39,60,166,6,25,81,3,2,26
353400,TC-Election Day Reporting,811,279,34.4,45,133,8,18,47,,,28
353400,TC-Vote by Mail Reporting,811,312,38.47,45,163,7,16,67,1,1,12
353500,TC-Election Day Reporting,950,319,33.58,44,155,13,19,64,,1,23
353500,TC-Vote by Mail Reporting,950,404,42.53,43,193,12,17,112,1,2,24
353600,TC-Election Day Reporting,761,262,34.43,42,105,6,19,64,3,,23
353600,TC-Vote by Mail Reporting,761,273,35.87,30,124,6,16,75,1,3,18
353800,TC-Election Day Reporting,504,168,33.33,28,65,3,14,32,3,2,21
353800,TC-Vote by Mail Reporting,504,205,40.67,33,81,6,13,57,,1,14
353900,TC-Election Day Reporting,1096,317,28.92,56,115,12,23,84,1,1,25
353900,TC-Vote by Mail Reporting,1096,343,31.3,64,107,19,18,109,4,3,19
354000,TC-Election Day Reporting,1282,375,29.25,65,122,7,26,119,3,2,31
354000,TC-Vote by Mail Reporting,1282,379,29.56,61,134,9,24,114,4,6,27
354100,TC-Election Day Reporting,1475,463,31.39,87,178,6,28,104,1,3,56
354100,TC-Vote by Mail Reporting,1475,554,37.56,114,214,19,28,135,4,7,33
354110,TC-Election Day Reporting,624,197,31.57,23,94,2,6,58,,1,13
354110,TC-Vote by Mail Reporting,624,253,40.54,30,92,3,13,99,1,,15
354300,TC-Election Day Reporting,1177,365,31.01,58,108,9,16,138,3,3,30
354300,TC-Vote by Mail Reporting,1177,351,29.82,46,110,8,16,153,1,4,13
354400,TC-Election Day Reporting,821,215,26.19,39,75,3,11,72,2,,13
354400,TC-Vote by Mail Reporting,821,289,35.2,65,76,12,11,102,,7,16
354500,TC-Election Day Reporting,1360,403,29.63,58,127,8,19,129,4,7,51
354500,TC-Vote by Mail Reporting,1360,417,30.66,70,108,8,22,173,4,8,24
354700,TC-Election Day Reporting,851,259,30.43,40,62,5,11,102,1,8,30
354700,TC-Vote by Mail Reporting,851,295,34.67,41,88,16,16,115,2,8,9
354900,TC-Election Day Reporting,658,204,31,49,56,4,8,64,2,2,19
354900,TC-Vote by Mail Reporting,658,204,31,32,81,5,9,66,2,2,7
354910,TC-Election Day Reporting,794,277,34.89,39,81,10,16,107,1,3,20
354910,TC-Vote by Mail Reporting,794,240,30.23,28,69,6,14,100,,5,18
355000,TC-Election Day Reporting,690,214,31.01,31,65,3,15,83,,2,15
355000,TC-Vote by Mail Reporting,690,243,35.22,30,100,7,11,70,3,5,17
355100,TC-Election Day Reporting,1099,309,28.12,31,107,3,13,119,1,1,34
355100,TC-Vote by Mail Reporting,1099,397,36.12,62,124,9,21,159,2,5,15
356000,TC-Election Day Reporting,933,291,31.19,58,83,5,13,95,1,2,34
356000,TC-Vote by Mail Reporting,933,341,36.55,46,118,3,23,126,3,5,17
356200,TC-Election Day Reporting,963,287,29.8,42,96,9,12,103,1,6,18
356200,TC-Vote by Mail Reporting,963,280,29.08,40,75,8,11,128,1,2,15
356210,TC-Election Day Reporting,1050,365,34.76,57,129,10,11,129,3,1,25
356210,TC-Vote by Mail Reporting,1050,327,31.14,37,119,12,13,126,2,4,14
356500,TC-Election Day Reporting,1178,368,31.24,53,80,7,11,175,7,,35
