Precinct,Method,Registered,Ballots Cast,Turnout (%),JANE BRUNNER,BARBARA PARKER,Write-In,Over Votes,Under Votes
226200,TC-Vote by Mail Reporting,1018,511,50.2,127,320,4,,60
226300,TC-Election Day Reporting,761,224,29.43,63,124,,,37
226300,TC-Vote by Mail Reporting,761,401,52.69,104,240,1,,56
226400,TC-Election Day Reporting,681,187,27.46,57,113,,,17
226400,TC-Vote by Mail Reporting,681,378,55.51,110,208,4,1,55
244000,TC-Election Day Reporting,810,265,32.72,78,132,,,55
244000,TC-Vote by Mail Reporting,810,410,50.62,114,246,2,,48
244100,TC-Election Day Reporting,1016,306,30.12,83,167,3,,53
244100,TC-Vote by Mail Reporting,1016,522,51.38,166,275,4,2,75
244200,TC-Election Day Reporting,778,259,33.29,80,124,,,55
244200,TC-Vote by Mail Reporting,778,390,50.13,135,188,1,,66
244300,TC-Election Day Reporting,1168,333,28.51,99,182,2,,50
244300,TC-Vote by Mail Reporting,1168,630,53.94,193,336,5,1,95
244400,TC-Election Day Reporting,888,251,28.27,73,137,1,,40
244400,TC-Vote by Mail Reporting,888,452,50.9,136,257,2,3,54
244500,TC-Election Day Reporting,772,251,32.51,75,126,5,,45
244500,TC-Vote by Mail Reporting,772,379,49.09,119,187,2,,71
244600,TC-Election Day Reporting,646,167,25.85,40,81,2,,44
244600,TC-Vote by Mail Reporting,646,366,56.66,101,215,1,,49
244700,TC-Election Day Reporting,889,272,30.6,78,132,1,,61
244700,TC-Vote by Mail Reporting,889,490,55.12,167,254,2,,67
244800,TC-Election Day Reporting,821,235,28.62,50,144,2,,39
244800,TC-Vote by Mail Reporting,821,447,54.45,149,240,2,1,55
244900,TC-Election Day Reporting,577,227,39.34,53,129,7,,38
244900,TC-Vote by Mail Reporting,577,256,44.37,92,127,2,,35
245000,TC-Election Day Reporting,751,210,27.96,59,116,2,,33
245000,TC-Vote by Mail Reporting,751,392,52.2,102,240,,1,49
245100,TC-Election Day Reporting,766,255,33.29,62,157,3,,33
245100,TC-Vote by Mail Reporting,766,385,50.26,109,210,,,66
245200,TC-Election Day Reporting,1296,376,29.01,118,184,4,,70
245200,TC-Vote by Mail Reporting,1296,716,55.25,233,373,2,,108
310000,TC-Election Day Reporting,985,402,40.81,100,225,,1,76
310000,TC-Vote by Mail Reporting,985,316,32.08,90,181,1,1,43
310100,TC-Election Day Reporting,894,347,38.81,73,189,3,,82
310100,TC-Vote by Mail Reporting,894,304,34,83,173,,,48
310200,TC-Election Day Reporting,816,284,34.8,82,139,1,1,61
310200,TC-Vote by Mail Reporting,816,310,37.99,110,155,1,1,43
310300,TC-Election Day Reporting,721,302,41.89,71,165,3,,63
310300,TC-Vote by Mail Reporting,721,263,36.48,75,147,1,,40
310400,TC-Election Day Reporting,819,368,44.93,93,183,3,1,88
310400,TC-Vote by Mail Reporting,819,247,30.16,68,143,,,36
310500,TC-Election Day Reporting,651,282,43.32,56,155,2,,69
310500,TC-Vote by Mail Reporting,651,223,34.25,64,127,,,32
310600,TC-Election Day Reporting,863,332,38.47,82,154,1,,95
310600,TC-Vote by Mail Reporting,863,310,35.92,80,185,1,1,43
310700,TC-Election Day Reporting,1351,569,42.12,127,283,5,,154
310700,TC-Vote by Mail Reporting,1351,454,33.6,125,290,1,,38
310900,TC-Election Day Reporting,1367,561,41.04,148,299,3,,111
310900,TC-Vote by Mail Reporting,1367,519,37.97,147,298,2,1,71
311100,TC-Election Day Reporting,1375,580,42.18,129,317,4,1,129
311100,TC-Vote by Mail Reporting,1375,471,34.25,152,270,2,2,45
311200,TC-Election Day Reporting,1282,493,38.46,125,243,1,,124
311200,TC-Vote by Mail Reporting,1282,456,35.57,138,253,2,7,56
311400,TC-Election Day Reporting,898,311,34.63,73,183,2,,53
311400,TC-Vote by Mail Reporting,898,305,33.96,95,167,,2,41
311510,TC-Election Day Reporting,1476,594,40.24,130,347,7,1,109
311510,TC-Vote by Mail Reporting,1476,518,35.09,158,291,2,1,66
311700,TC-Election Day Reporting,1436,490,34.12,106,257,1,,126
311700,TC-Vote by Mail Reporting,1436,422,29.39,126,260,,2,34
323000,TC-Election Day Reporting,795,296,37.23,56,174,,,66
323000,TC-Vote by Mail Reporting,795,321,40.38,78,194,2,,47
323200,TC-Election Day Reporting,1022,368,36.01,72,207,1,,88
323200,TC-Vote by Mail Reporting,1022,401,39.24,96,240,,1,64
325100,TC-Election Day Reporting,1686,547,32.44,121,318,1,,107
325100,TC-Vote by Mail Reporting,1686,697,41.34,177,415,2,,103
325200,TC-Election Day Reporting,937,395,42.16,107,188,2,,98
325200,TC-Vote by Mail Reporting,937,338,36.07,88,201,4,,45
325300,TC-Election Day Reporting,1317,367,27.87,85,188,4,,90
325300,TC-Vote by Mail Reporting,1317,619,47,167,351,4,2,95
325400,TC-Election Day Reporting,714,245,34.31,50,140,1,,54
325400,TC-Vote by Mail Reporting,714,291,40.76,73,170,2,,46
325500,TC-Election Day Reporting,810,254,31.36,65,120,,1,68
325500,TC-Vote by Mail Reporting,810,380,46.91,94,215,2,,69
325510,TC-Election Day Reporting,1365,436,31.94,85,259,3,,89
325510,TC-Vote by Mail Reporting,1365,597,43.74,139,359,4,2,93
