Precinct,Method,Registered,Ballots Cast,Turnout (%),JANE BRUNNER,BARBARA PARKER,Write-In,Over Votes,Under Votes
373500,TC-Election Day Reporting,739,295,39.92,58,180,9,,48
373500,TC-Vote by Mail Reporting,739,176,23.82,32,132,,,12
373900,TC-Election Day Reporting,1027,385,37.49,55,255,3,,72
373900,TC-Vote by Mail Reporting,1027,299,29.11,68,194,,,37
400100,TC-Election Day Reporting,693,259,37.37,84,102,1,,72
400100,TC-Vote by Mail Reporting,693,315,45.45,94,170,,1,50
400200,TC-Election Day Reporting,780,322,41.28,75,178,1,,68
400200,TC-Vote by Mail Reporting,780,346,44.36,76,238,2,,30
400300,TC-Election Day Reporting,792,298,37.63,72,175,,1,50
400300,TC-Vote by Mail Reporting,792,384,48.48,114,250,,,20
400400,TC-Election Day Reporting,556,186,33.45,54,101,,,31
400400,TC-Vote by Mail Reporting,556,277,49.82,68,181,,,28
400500,TC-Election Day Reporting,550,215,39.09,48,135,1,,31
400500,TC-Vote by Mail Reporting,550,226,41.09,51,160,,1,14
400600,TC-Election Day Reporting,697,267,38.31,52,159,1,,55
400600,TC-Vote by Mail Reporting,697,322,46.2,71,225,2,,24
400700,TC-Election Day Reporting,739,273,36.94,55,169,1,,48
400700,TC-Vote by Mail Reporting,739,334,45.2,66,236,3,,29
400800,TC-Election Day Reporting,756,289,38.23,50,193,3,,43
400800,TC-Vote by Mail Reporting,756,249,32.94,69,160,,1,19
400900,TC-Election Day Reporting,1318,426,32.32,78,259,1,1,87
400900,TC-Vote by Mail Reporting,1318,568,43.1,113,399,3,,53
401100,TC-Election Day Reporting,1259,484,38.44,95,321,1,,67
401100,TC-Vote by Mail Reporting,1259,464,36.85,110,312,5,2,35
410100,TC-Election Day Reporting,1493,469,31.41,92,309,3,1,64
410100,TC-Vote by Mail Reporting,1493,394,26.39,87,264,2,,41
410300,TC-Election Day Reporting,1112,369,33.18,67,232,4,,66
410300,TC-Vote by Mail Reporting,1112,319,28.69,78,214,6,,21
410400,TC-Election Day Reporting,1471,531,36.1,110,333,5,,83
410400,TC-Vote by Mail Reporting,1471,520,35.35,142,330,2,,46
410500,TC-Election Day Reporting,739,301,40.73,61,174,5,,61
410500,TC-Vote by Mail Reporting,739,209,28.28,45,147,,,17
410600,TC-Election Day Reporting,925,288,31.14,61,171,3,,53
410600,TC-Vote by Mail Reporting,925,406,43.89,106,254,2,,44
415000,TC-Election Day Reporting,841,320,38.05,64,215,8,,33
415000,TC-Vote by Mail Reporting,841,204,24.26,66,115,3,1,19
415200,TC-Election Day Reporting,659,234,35.51,51,140,4,,39
415200,TC-Vote by Mail Reporting,659,195,29.59,46,128,2,,19
415300,TC-Election Day Reporting,1083,385,35.55,79,227,2,3,74
415300,TC-Vote by Mail Reporting,1083,358,33.06,79,236,5,3,35
415500,TC-Election Day Reporting,827,315,38.09,63,196,3,,53
415500,TC-Vote by Mail Reporting,827,238,28.78,72,145,,1,20
415600,TC-Election Day Reporting,847,282,33.29,53,164,3,,62
415600,TC-Vote by Mail Reporting,847,257,30.34,61,177,2,,17
415800,TC-Election Day Reporting,723,283,39.14,47,191,15,1,29
415800,TC-Vote by Mail Reporting,723,197,27.25,51,137,3,,6
415900,TC-Election Day Reporting,537,219,40.78,30,150,,,39
415900,TC-Vote by Mail Reporting,537,160,29.8,46,104,1,1,8
9213000,TC-Election Day Reporting,413,7,1.69,3,2,,,2
9213000,TC-Vote by Mail Reporting,413,300,72.64,107,158,,1,34
9215630,TC-Election Day Reporting,207,41,19.81,3,26,,,12
9215630,TC-Vote by Mail Reporting,207,96,46.38,22,64,,1,9
9215810,TC-Election Day Reporting,50,6,12,1,5,,,
9215810,TC-Vote by Mail Reporting,50,22,44,2,15,,,5
9223100,TC-Election Day Reporting,273,10,3.66,4,4,,,2
9223100,TC-Vote by Mail Reporting,273,229,83.88,97,108,2,,22
9223110,TC-Election Day Reporting,136,4,2.94,3,,,,1
9223110,TC-Vote by Mail Reporting,136,103,75.74,30,51,1,,21
9224300,TC-Election Day Reporting,185,21,11.35,6,7,,,8
9224300,TC-Vote by Mail Reporting,185,120,64.86,29,67,,,24
9224420,TC-Election Day Reporting,109,7,6.42,1,3,,,3
9224420,TC-Vote by Mail Reporting,109,66,60.55,12,46,,1,7
9224430,TC-Election Day Reporting,57,5,8.77,3,2,,,
9224430,TC-Vote by Mail Reporting,57,31,54.39,11,15,,,5
9224710,TC-Election Day Reporting,147,1,0.68,1,,,,
9224710,TC-Vote by Mail Reporting,147,114,77.55,21,80,2,,11
9224810,TC-Election Day Reporting,251,26,10.36,7,14,,,5
9224810,TC-Vote by Mail Reporting,251,182,72.51,54,101,,,27
9224910,TC-Election Day Reporting,173,3,1.73,1,2,,,
9224910,TC-Vote by Mail Reporting,173,154,89.02,32,100,,,22
9225500,TC-Election Day Reporting,110,7,6.36,2,1,,,4
9225500,TC-Vote by Mail Reporting,110,73,66.36,20,36,3,,14
9244110,TC-Election Day Reporting,213,5,2.35,1,3,,,1
9244110,TC-Vote by Mail Reporting,213,173,81.22,54,81,,1,37
9244910,TC-Election Day Reporting,138,7,5.07,4,2,,,1
9244910,TC-Vote by Mail Reporting,138,100,72.46,34,57,1,,8
9325000,TC-Election Day Reporting,295,35,11.86,2,17,,1,15
9325000,TC-Vote by Mail Reporting,295,160,54.24,50,86,2,,22
9333300,TC-Election Day Reporting,77,2,2.6,,2,,,
9333300,TC-Vote by Mail Reporting,77,51,66.23,18,21,,,12
9333310,TC-Election Day Reporting,0,0,0,,,,,
9333310,TC-Vote by Mail Reporting,0,0,0,,,,,
9333420,TC-Election Day Reporting,0,0,0,,,,,
9333420,TC-Vote by Mail Reporting,0,0,0,,,,,
9333610,TC-Election Day Reporting,67,3,4.48,,2,,,1
9333610,TC-Vote by Mail Reporting,67,45,67.16,13,25,2,,5
9333910,TC-Election Day Reporting,118,2,1.69,1,1,,,
9333910,TC-Vote by Mail Reporting,118,68,57.63,17,29,,,22
9333920,TC-Election Day Reporting,69,3,4.35,1,2,,,
9333920,TC-Vote by Mail Reporting,69,46,66.67,19,20,,,7
9333930,TC-Election Day Reporting,356,21,5.9,2,12,1,,6
9333930,TC-Vote by Mail Reporting,356,196,55.06,48,105,,7,36
9334510,TC-Election Day Reporting,2,0,0,,,,,
9334510,TC-Vote by Mail Reporting,2,1,50,1,,,,
9335110,TC-Election Day Reporting,181,20,11.05,1,16,,,3
9335110,TC-Vote by Mail Reporting,181,87,48.07,14,68,,,5
9335600,TC-Election Day Reporting,281,30,10.68,3,20,,,7
9335600,TC-Vote by Mail Reporting,281,117,41.64,34,70,,,13
9335800,TC-Election Day Reporting,239,19,7.95,7,10,,,2
9335800,TC-Vote by Mail Reporting,239,125,52.3,30,76,,,19
9335910,TC-Election Day Reporting,110,11,10,1,7,,,3
9335910,TC-Vote by Mail Reporting,110,54,49.09,23,23,1,1,6
9336300,TC-Election Day Reporting,36,1,2.78,,,,,1
9336300,TC-Vote by Mail Reporting,36,24,66.67,7,16,,,1
9336810,TC-Election Day Reporting,69,1,1.45,,1,,,
9336810,TC-Vote by Mail Reporting,69,46,66.67,10,29,,,7
9336910,TC-Election Day Reporting,431,15,3.48,1,6,,,8
9336910,TC-Vote by Mail Reporting,431,302,70.07,74,157,,,71
9345300,TC-Election Day Reporting,171,20,11.7,2,8,,,10
9345300,TC-Vote by Mail Reporting,171,109,63.74,21,61,1,,26
9345710,TC-Election Day Reporting,100,0,0,,,,,
9345710,TC-Vote by Mail Reporting,100,83,83,32,42,,,9
9347110,TC-Election Day Reporting,411,39,9.49,8,23,2,,6
9347110,TC-Vote by Mail Reporting,411,212,51.58,46,143,2,,21
9347210,TC-Election Day Reporting,226,25,11.06,4,15,,,6
9347210,TC-Vote by Mail Reporting,226,105,46.46,25,69,,,11
9355210,TC-Election Day Reporting,257,18,7,4,10,,,4
9355210,TC-Vote by Mail Reporting,257,149,57.98,38,96,1,,14
9356400,TC-Election Day Reporting,463,49,10.58,8,25,1,,15
9356400,TC-Vote by Mail Reporting,463,236,50.97,71,140,2,,23
9360900,TC-Election Day Reporting,30,1,3.33,,1,,,
9360900,TC-Vote by Mail Reporting,30,6,20,4,1,,,1
9361000,TC-Election Day Reporting,323,23,7.12,1,15,,,7
9361000,TC-Vote by Mail Reporting,323,168,52.01,41,102,2,1,22
9361210,TC-Election Day Reporting,0,0,0,,,,,
9361210,TC-Vote by Mail Reporting,0,0,0,,,,,
9361400,TC-Election Day Reporting,57,10,17.54,1,7,1,,1
9361400,TC-Vote by Mail Reporting,57,23,40.35,7,13,1,,2
9362000,TC-Election Day Reporting,346,33,9.54,6,21,1,,5
9362000,TC-Vote by Mail Reporting,346,159,45.95,40,99,2,,18
9362210,TC-Election Day Reporting,48,1,2.08,,,,,1
9362210,TC-Vote by Mail Reporting,48,25,52.08,8,14,,,3
9364020,TC-Election Day Reporting,8,0,0,,,,,
9364020,TC-Vote by Mail Reporting,8,8,100,,6,,,2
9364030,TC-Election Day Reporting,1,0,0,,,,,
9364030,TC-Vote by Mail Reporting,1,1,100,,1,,,
9364210,TC-Election Day Reporting,6,0,0,,,,,
9364210,TC-Vote by Mail Reporting,6,3,50,,3,,,
9364320,TC-Election Day Reporting,9,0,0,,,,,
9364320,TC-Vote by Mail Reporting,9,6,66.67,2,1,,,3
9364330,TC-Election Day Reporting,31,1,3.23,,,,,1
9364330,TC-Vote by Mail Reporting,31,18,58.06,5,10,,,3
9373000,TC-Election Day Reporting,0,0,0,,,,,
9373000,TC-Vote by Mail Reporting,0,0,0,,,,,
9373010,TC-Election Day Reporting,0,0,0,,,,,
9373010,TC-Vote by Mail Reporting,0,0,0,,,,,
9373020,TC-Election Day Reporting,0,0,0,,,,,
9373020,TC-Vote by Mail Reporting,0,0,0,,,,,
9373030,TC-Election Day Reporting,0,0,0,,,,,
9373030,TC-Vote by Mail Reporting,0,0,0,,,,,
9416220,TC-Election Day Reporting,0,0,0,,,,,
9416220,TC-Vote by Mail Reporting,0,0,0,,,,,
